steps,rewards
1000,25.9
2000,25.0
3000,53.0
4000,92.9
5000,120.5
6000,121.0
7000,154.8
8000,166.9
9000,182.4
10000,180.2
11000,159.4
12000,162.4
13000,170.6
14000,175.0
15000,186.2
16000,191.9
17000,183.9
18000,187.5
19000,189.2
20000,184.6
21000,171.0
22000,176.9
23000,177.7
24000,182.5
25000,169.4
26000,160.3
27000,156.7
28000,145.2
29000,133.5
30000,124.4
31000,122.7
32000,114.8
33000,117.6
34000,120.3
35000,116.2
36000,111.3
37000,113.5
38000,109.5
39000,111.4
40000,107.9
41000,107.1
42000,108.7
43000,108.4
44000,104.7
45000,104.1
46000,104.1
47000,110.3
48000,110.9
49000,105.2
50000,111.0
51000,112.6
52000,110.6
53000,106.6
54000,108.2
55000,107.7
56000,114.4
57000,119.7
58000,123.3
59000,127.4
60000,122.6
61000,131.6
62000,145.5
63000,156.7
64000,142.3
65000,140.6
66000,133.9
67000,135.3
68000,133.4
69000,128.8
70000,128.8
71000,132.1
72000,191.9
73000,249.8
74000,302.7
75000,299.5
76000,303.0
77000,298.6
78000,329.1
79000,377.5
80000,386.4
81000,400.9
82000,414.4
83000,407.5
84000,426.0
85000,448.0
86000,470.2
87000,473.4
88000,487.3
89000,482.7
90000,468.9
91000,462.0
92000,431.1
93000,427.0
94000,427.0
95000,405.5
96000,394.6
97000,398.3
98000,381.4
99000,348.7
100000,310.5
101000,309.8
102000,295.0
103000,302.7
104000,283.7
105000,270.4
106000,250.2
107000,283.3
108000,275.3
109000,343.5
110000,335.9
111000,340.4
112000,362.9
113000,379.8
114000,379.5
115000,386.0
116000,387.0
117000,373.3
118000,355.3
119000,309.8
120000,284.0
121000,288.8
122000,296.2
123000,313.1
124000,301.8
125000,239.7
126000,242.5
127000,262.1
128000,282.5
129000,262.9
130000,272.3
131000,265.6
132000,268.9
133000,218.7
134000,254.8
135000,235.5
136000,299.5
137000,312.6
138000,335.6
139000,323.9
140000,286.6
141000,308.7
142000,237.7
143000,281.6
144000,285.2
145000,296.4
146000,269.3
147000,247.5
148000,252.6
149000,276.1
150000,292.4
151000,312.4
152000,319.4
153000,349.9
154000,382.0
155000,400.4
156000,428.8
157000,398.1
158000,378.8
159000,361.2
160000,364.6
161000,400.0
162000,422.2
163000,407.5
164000,425.0
165000,389.6
166000,389.8
167000,345.4
168000,358.0
169000,371.7
170000,391.2
171000,412.2
172000,383.3
173000,367.7
174000,371.6
175000,390.8
176000,426.6
177000,474.6
178000,500.0
179000,500.0
180000,500.0
181000,500.0
182000,500.0
183000,500.0
184000,500.0
185000,500.0
186000,500.0
187000,500.0
188000,500.0
189000,500.0
190000,500.0
191000,500.0
192000,476.7
193000,446.5
194000,446.5
195000,446.5
196000,446.5
197000,469.8
198000,500.0
199000,500.0
200000,500.0
