steps,rewards
1000,16.6
2000,15.0
3000,32.8
4000,52.2
5000,106.6
6000,168.9
7000,227.7
8000,257.4
9000,247.3
10000,252.2
11000,251.9
12000,256.8
13000,265.9
14000,272.2
15000,257.5
16000,252.6
17000,253.3
18000,250.6
19000,279.0
20000,278.1
21000,264.0
22000,245.5
23000,264.3
24000,298.9
25000,313.5
26000,289.1
27000,270.3
28000,255.9
29000,246.5
30000,271.3
31000,269.8
32000,300.7
33000,268.0
34000,217.7
35000,200.2
36000,188.3
37000,187.3
38000,202.3
39000,205.2
40000,181.9
41000,172.1
42000,188.9
43000,192.5
44000,162.2
45000,204.0
46000,242.1
47000,282.4
48000,310.1
49000,336.8
50000,362.7
51000,308.4
52000,249.6
53000,224.7
54000,239.2
55000,268.7
56000,294.9
57000,295.7
58000,266.1
59000,229.6
60000,202.3
61000,178.1
62000,191.6
63000,182.8
64000,170.4
65000,200.0
66000,269.9
67000,308.1
68000,364.7
69000,314.3
70000,241.3
71000,250.4
72000,250.6
73000,269.7
74000,280.0
75000,307.6
76000,343.8
77000,401.3
78000,401.3
79000,392.4
80000,392.6
81000,345.3
82000,312.3
83000,340.4
84000,313.2
85000,207.4
86000,199.9
87000,226.1
88000,224.4
89000,195.9
90000,273.8
91000,282.6
92000,333.9
93000,337.2
94000,353.0
95000,358.3
96000,398.5
97000,433.0
98000,370.8
99000,380.7
100000,367.8
101000,400.5
102000,436.1
103000,437.7
104000,424.5
105000,378.7
106000,361.4
107000,372.2
108000,368.2
109000,394.8
110000,356.9
111000,305.6
112000,218.2
113000,207.5
114000,234.5
115000,256.5
116000,229.4
117000,235.8
118000,218.0
119000,245.8
120000,264.6
121000,233.2
122000,164.0
123000,160.0
124000,171.5
125000,170.1
126000,181.8
127000,196.8
128000,211.2
129000,210.6
130000,190.9
131000,195.1
132000,224.4
133000,247.7
134000,225.9
135000,215.4
136000,197.6
137000,176.9
138000,210.4
139000,262.0
140000,331.3
141000,372.5
142000,426.6
143000,438.2
144000,23.4
145000,70.2
146000,166.1
147000,261.6
148000,357.1
149000,451.9
150000,500.0
151000,500.0
152000,500.0
153000,500.0
154000,500.0
155000,500.0
156000,500.0
157000,500.0
158000,500.0
159000,500.0
160000,500.0
161000,500.0
162000,500.0
163000,500.0
164000,500.0
165000,500.0
166000,500.0
167000,494.9
168000,460.5
169000,447.9
170000,447.9
171000,420.4
172000,415.8
173000,405.4
174000,405.4
175000,438.0
176000,438.0
177000,468.1
178000,500.0
179000,500.0
180000,500.0
181000,500.0
182000,500.0
183000,486.3
184000,320.0
185000,232.4
186000,273.1
187000,357.7
188000,402.6
189000,442.2
190000,490.2
191000,500.0
192000,500.0
193000,500.0
194000,500.0
195000,500.0
196000,500.0
197000,500.0
198000,500.0
199000,500.0
200000,500.0
