steps,rewards
1000,22.1
2000,18.8
3000,33.0
4000,69.0
5000,104.5
6000,186.2
7000,235.1
8000,258.8
9000,271.8
10000,282.4
11000,281.2
12000,271.2
13000,232.0
14000,216.9
15000,180.9
16000,91.8
17000,81.1
18000,104.2
19000,73.6
20000,79.8
21000,76.3
22000,89.5
23000,91.5
24000,79.9
25000,91.9
26000,94.1
27000,112.6
28000,141.7
29000,119.3
30000,102.7
31000,98.1
32000,107.8
33000,177.3
34000,178.1
35000,149.1
36000,178.1
37000,208.2
38000,244.2
39000,156.5
40000,143.8
41000,136.7
42000,147.1
43000,122.4
44000,132.0
45000,159.4
46000,206.9
47000,254.3
48000,291.4
49000,273.6
50000,272.2
51000,228.0
52000,182.2
53000,186.0
54000,191.0
55000,183.8
56000,225.3
57000,279.7
58000,268.3
59000,197.3
60000,207.7
61000,218.2
62000,229.6
63000,204.2
64000,180.1
65000,179.5
66000,177.9
67000,162.5
68000,157.4
69000,167.1
70000,155.1
71000,163.9
72000,175.2
73000,140.3
74000,128.0
75000,119.3
76000,115.2
77000,126.1
78000,123.7
79000,123.7
80000,146.1
81000,167.8
82000,154.3
83000,153.2
84000,157.1
85000,161.0
86000,169.1
87000,171.2
88000,149.5
89000,132.3
90000,137.3
91000,137.0
92000,137.5
93000,163.8
94000,212.9
95000,253.6
96000,303.2
97000,332.6
98000,313.9
99000,298.2
100000,308.4
101000,327.1
102000,272.2
103000,149.1
104000,143.4
105000,135.7
106000,124.5
107000,125.6
108000,139.8
109000,158.1
110000,213.7
111000,279.9
112000,351.2
113000,381.1
114000,416.7
115000,267.7
116000,197.0
117000,241.5
118000,289.4
119000,356.0
120000,420.7
121000,475.2
122000,493.8
123000,484.6
124000,473.8
125000,468.7
126000,468.7
127000,468.7
128000,484.1
129000,494.9
130000,500.0
131000,463.2
132000,386.1
133000,360.2
134000,360.2
135000,366.5
136000,435.5
137000,458.0
138000,437.3
139000,467.8
140000,450.3
141000,428.8
142000,430.2
143000,452.9
144000,452.9
145000,470.4
146000,500.0
147000,500.0
148000,500.0
149000,500.0
150000,500.0
151000,500.0
152000,500.0
153000,500.0
154000,500.0
155000,500.0
156000,461.2
157000,461.2
158000,458.7
159000,458.7
160000,454.6
161000,377.0
162000,146.7
163000,105.8
164000,102.2
165000,101.5
166000,100.6
167000,104.1
168000,109.1
169000,156.6
170000,186.0
171000,112.6
172000,142.0
173000,170.1
174000,156.6
175000,190.4
176000,165.2
177000,160.4
178000,198.9
179000,270.1
180000,296.4
181000,297.5
182000,356.0
183000,351.0
184000,346.5
185000,289.3
186000,299.4
187000,285.3
188000,254.0
189000,255.8
190000,247.9
191000,311.5
192000,377.1
193000,415.8
194000,438.0
195000,482.7
196000,459.9
197000,459.9
198000,459.9
199000,459.9
200000,477.2
