steps,rewards
1000,25.0
2000,19.7
3000,30.4
4000,35.6
5000,26.8
6000,50.6
7000,44.0
8000,73.0
9000,71.9
10000,63.0
11000,55.0
12000,89.5
13000,98.8
14000,84.7
15000,48.0
16000,102.0
17000,92.4
18000,111.7
19000,131.7
20000,149.6
21000,99.4
22000,91.1
23000,82.4
24000,144.9
25000,162.7
26000,148.3
27000,141.1
28000,192.5
29000,177.6
30000,178.7
31000,163.1
32000,160.1
33000,164.2
34000,179.6
35000,157.7
36000,170.5
37000,198.1
38000,213.8
39000,206.7
40000,244.3
41000,243.2
42000,246.4
43000,240.3
44000,269.9
45000,300.3
46000,284.3
47000,245.0
48000,265.6
49000,222.4
50000,188.3
51000,268.1
52000,340.0
53000,352.6
54000,434.7
55000,451.8
56000,465.5
57000,437.6
58000,406.4
59000,366.6
60000,366.6
61000,349.0
62000,322.0
63000,361.0
64000,360.1
65000,387.4
66000,431.9
67000,445.8
68000,444.5
69000,484.8
70000,460.2
71000,377.6
72000,269.4
73000,226.0
74000,232.3
75000,260.1
76000,274.8
77000,233.9
78000,112.4
79000,83.6
80000,93.0
81000,101.7
82000,105.1
83000,104.6
84000,137.0
85000,92.5
86000,79.8
87000,92.0
88000,77.8
89000,76.9
90000,85.7
91000,98.1
92000,100.6
93000,105.1
94000,109.7
95000,175.7
96000,254.0
97000,332.8
98000,410.1
99000,466.5
100000,466.5
101000,466.5
102000,466.5
103000,466.5
104000,500.0
105000,500.0
106000,500.0
107000,500.0
108000,500.0
109000,500.0
110000,500.0
111000,500.0
112000,500.0
113000,500.0
114000,500.0
115000,500.0
116000,500.0
117000,500.0
118000,500.0
119000,500.0
120000,500.0
121000,500.0
122000,500.0
123000,500.0
124000,461.9
125000,442.7
126000,388.9
127000,369.6
128000,389.1
129000,398.2
130000,437.6
131000,469.9
132000,424.1
133000,440.7
134000,440.7
135000,440.7
136000,440.7
137000,487.9
138000,472.7
139000,472.7
140000,458.6
141000,409.6
142000,433.2
143000,436.9
144000,451.0
145000,459.7
146000,500.0
147000,500.0
148000,497.6
149000,497.6
150000,497.6
151000,487.8
152000,485.7
153000,488.1
154000,488.1
155000,460.1
156000,472.0
157000,472.0
158000,471.0
159000,471.0
160000,499.0
161000,499.0
162000,453.1
163000,393.6
164000,393.6
165000,342.8
166000,327.4
167000,352.9
168000,316.3
169000,263.1
170000,262.5
171000,285.2
172000,342.1
173000,396.4
174000,453.7
175000,443.8
176000,481.2
177000,490.1
178000,454.3
179000,454.3
180000,464.2
181000,464.2
182000,466.5
183000,500.0
184000,465.9
185000,465.9
186000,465.9
187000,406.1
188000,407.8
189000,362.7
190000,342.9
191000,373.2
192000,405.6
193000,369.9
194000,409.2
195000,319.3
196000,256.4
197000,243.9
198000,282.2
199000,354.3
200000,385.6
