steps,rewards
1000,11.1
2000,13.9
3000,15.5
4000,19.9
5000,40.3
6000,48.3
7000,55.6
8000,62.6
9000,104.4
10000,101.6
11000,105.3
12000,102.7
13000,109.4
14000,114.7
15000,121.8
16000,131.4
17000,138.3
18000,133.4
19000,139.0
20000,141.5
21000,150.4
22000,147.9
23000,139.9
24000,140.0
25000,152.3
26000,135.9
27000,139.1
28000,156.3
29000,164.6
30000,129.8
31000,139.2
32000,143.8
33000,136.7
34000,128.7
35000,143.5
36000,126.1
37000,133.9
38000,127.5
39000,143.1
40000,142.0
41000,154.0
42000,144.3
43000,145.8
44000,139.3
45000,123.7
46000,135.1
47000,141.8
48000,147.7
49000,140.9
50000,135.1
51000,137.4
52000,145.6
53000,122.8
54000,125.9
55000,130.8
56000,135.5
57000,131.1
58000,133.8
59000,127.7
60000,126.4
61000,126.4
62000,138.6
63000,134.0
64000,141.4
65000,147.5
66000,146.1
67000,143.0
68000,142.5
69000,143.6
70000,152.5
71000,148.2
72000,143.4
73000,137.2
74000,130.9
75000,137.8
76000,129.5
77000,137.9
78000,138.3
79000,146.7
80000,135.4
81000,136.8
82000,135.4
83000,135.9
84000,146.9
85000,140.0
86000,146.4
87000,166.1
88000,174.1
89000,169.7
90000,166.1
91000,167.3
92000,153.4
93000,154.4
94000,155.2
95000,158.7
96000,158.7
97000,161.9
98000,158.5
99000,158.9
100000,163.5
101000,163.5
102000,158.7
103000,160.1
104000,160.7
105000,160.1
106000,157.6
107000,159.1
108000,157.0
109000,160.0
110000,160.7
111000,155.5
112000,156.5
113000,155.4
114000,153.1
115000,151.2
116000,147.7
117000,148.3
118000,154.9
119000,157.1
120000,153.5
121000,154.3
122000,157.6
123000,153.0
124000,153.8
125000,153.7
126000,157.8
127000,163.3
128000,165.8
129000,164.0
130000,165.5
131000,172.8
132000,181.2
133000,187.8
134000,197.3
135000,232.4
136000,263.4
137000,329.0
138000,354.9
139000,224.5
140000,181.6
141000,216.2
142000,216.2
143000,247.9
144000,250.5
145000,184.1
146000,179.0
147000,183.8
148000,186.0
149000,186.2
150000,199.7
151000,260.8
152000,291.8
153000,325.2
154000,283.7
155000,262.7
156000,268.8
157000,280.5
158000,337.3
159000,302.9
160000,353.7
161000,401.2
162000,401.2
163000,462.5
164000,490.2
165000,500.0
166000,500.0
167000,495.0
168000,495.0
169000,494.6
170000,471.0
171000,453.3
172000,350.6
173000,290.6
174000,279.1
175000,301.6
176000,362.4
177000,366.2
178000,400.2
179000,454.6
180000,480.6
181000,480.6
182000,500.0
183000,500.0
184000,500.0
185000,500.0
186000,500.0
187000,500.0
188000,500.0
189000,500.0
190000,500.0
191000,500.0
192000,500.0
193000,479.3
194000,479.3
195000,479.3
196000,479.3
197000,479.3
198000,500.0
199000,500.0
200000,500.0
