steps,rewards
1000,-1.0
2000,-1.0
3000,-1.0
4000,-1.0
5000,-1.0
6000,-1.0
7000,-1.0
8000,-0.8117000000000001
9000,-1.0
10000,-0.6234
11000,-0.4405
12000,-0.4387
13000,-0.45309999999999995
14000,-0.4729
15000,-0.05760000000000002
16000,-0.2657
17000,-0.4396000000000001
18000,0.3082
19000,0.8524
20000,0.11629999999999993
21000,0.3316
22000,0.12710000000000005
23000,0.5090999999999999
24000,0.5261999999999999
25000,0.7172
26000,0.5163
27000,0.7001000000000001
28000,0.5279999999999999
29000,-0.07470000000000002
30000,0.7261999999999998
31000,0.9171999999999999
32000,0.3109
33000,0.7055
34000,0.7181000000000001
35000,0.7289
36000,0.7046
37000,0.7243999999999999
38000,0.7388
39000,0.9037
40000,0.9226000000000001
41000,0.6982999999999999
42000,0.8731
43000,0.6965
44000,0.9108999999999998
45000,0.5307
46000,0.492
47000,0.8793999999999998
48000,0.6901999999999999
49000,0.8983000000000001
50000,0.9046000000000001
51000,0.7019
52000,0.9118
53000,0.6704000000000001
54000,0.8982999999999999
55000,0.9109
56000,0.8865999999999999
57000,0.9154
58000,0.7028000000000001
59000,0.8668000000000001
60000,0.7343
61000,0.9073
62000,0.9262
63000,0.8749
64000,0.8991999999999999
65000,0.6965
66000,0.9082000000000001
67000,0.9010000000000001
68000,0.7046
69000,0.8965
70000,0.8884000000000001
71000,0.9226000000000001
72000,0.7108999999999999
73000,0.8838999999999999
74000,0.9099999999999999
75000,0.9118
76000,0.9118
77000,0.9081999999999999
78000,0.9226000000000001
79000,0.9099999999999999
80000,0.7009999999999998
81000,0.883
82000,0.8883999999999999
83000,0.9207999999999998
84000,0.9073
85000,0.8991999999999999
86000,0.8748999999999999
87000,0.8739999999999999
88000,0.7127000000000001
89000,0.8974
90000,0.8982999999999999
91000,0.9009999999999998
92000,0.9028
93000,0.8676999999999999
94000,0.874
95000,0.7235
96000,0.8991999999999999
97000,0.9090999999999999
98000,0.8992000000000001
99000,0.9018999999999998
100000,0.7172
