steps,rewards
1000,17.2
2000,14.8
3000,19.0
4000,24.2
5000,42.9
6000,89.5
7000,159.1
8000,229.9
9000,223.0
10000,236.0
11000,242.3
12000,251.4
13000,268.7
14000,263.0
15000,235.6
16000,229.8
17000,238.8
18000,265.2
19000,260.2
20000,245.1
21000,229.1
22000,216.7
23000,242.1
24000,248.2
25000,232.1
26000,238.5
27000,247.8
28000,230.7
29000,218.3
30000,227.5
31000,239.6
32000,251.0
33000,222.8
34000,213.8
35000,219.1
36000,223.5
37000,210.1
38000,199.1
39000,198.0
40000,196.9
41000,213.2
42000,244.7
43000,233.8
44000,220.6
45000,213.9
46000,220.1
47000,220.4
48000,225.3
49000,218.7
50000,216.4
51000,220.2
52000,219.5
53000,212.5
54000,223.9
55000,225.4
56000,252.1
57000,213.3
58000,194.5
59000,195.5
60000,203.5
61000,213.0
62000,195.6
63000,180.4
64000,214.7
65000,235.9
66000,201.6
67000,199.3
68000,216.3
69000,218.8
70000,213.2
71000,196.4
72000,193.8
73000,180.2
74000,185.7
75000,189.0
76000,180.9
77000,188.4
78000,199.5
79000,192.8
80000,178.9
81000,193.7
82000,204.8
83000,229.6
84000,213.5
85000,195.6
86000,177.2
87000,191.6
88000,213.9
89000,237.2
90000,237.2
91000,235.2
92000,244.4
93000,227.6
94000,224.7
95000,213.0
96000,236.4
97000,245.1
98000,240.1
99000,217.9
100000,209.5
101000,193.5
102000,195.5
103000,207.9
104000,213.0
105000,208.1
106000,212.1
107000,207.0
108000,200.9
109000,211.8
110000,228.4
111000,218.6
112000,203.2
113000,194.3
114000,198.6
115000,227.7
116000,224.3
117000,223.1
118000,233.5
119000,214.6
120000,217.4
121000,243.5
122000,239.1
123000,232.6
124000,222.5
125000,214.0
126000,219.6
127000,226.8
128000,232.0
129000,241.8
130000,234.3
131000,231.3
132000,233.6
133000,235.4
134000,238.0
135000,246.9
136000,232.4
137000,226.6
138000,230.6
139000,231.5
140000,223.3
141000,226.1
142000,246.5
143000,279.8
144000,286.8
145000,318.8
146000,359.3
147000,401.1
148000,450.5
149000,479.2
150000,500.0
151000,500.0
152000,500.0
153000,500.0
154000,500.0
155000,500.0
156000,481.8
157000,481.8
158000,481.8
159000,481.8
160000,481.8
161000,500.0
162000,500.0
163000,500.0
164000,500.0
165000,500.0
166000,500.0
167000,500.0
168000,500.0
169000,500.0
170000,500.0
171000,500.0
172000,500.0
173000,500.0
174000,500.0
175000,500.0
176000,500.0
177000,500.0
178000,500.0
179000,500.0
180000,500.0
181000,500.0
182000,500.0
183000,500.0
184000,500.0
185000,500.0
186000,500.0
187000,500.0
188000,500.0
189000,500.0
190000,500.0
191000,500.0
192000,500.0
193000,500.0
194000,500.0
195000,500.0
196000,500.0
197000,500.0
198000,500.0
199000,500.0
200000,500.0
