steps,rewards
1000,22.9
2000,17.7
3000,36.6
4000,41.8
5000,79.5
6000,170.6
7000,245.4
8000,233.6
9000,224.2
10000,264.2
11000,305.8
12000,328.6
13000,309.8
14000,311.5
15000,281.4
16000,309.2
17000,275.9
18000,264.1
19000,240.6
20000,264.6
21000,257.3
22000,264.9
23000,269.7
24000,293.3
25000,280.3
26000,277.1
27000,242.3
28000,254.7
29000,250.3
30000,250.4
31000,246.5
32000,233.2
33000,232.8
34000,245.7
35000,256.8
36000,251.0
37000,227.0
38000,245.2
39000,261.9
40000,263.5
41000,257.5
42000,232.9
43000,258.8
44000,253.7
45000,266.8
46000,243.7
47000,220.5
48000,239.7
49000,251.3
50000,232.3
51000,221.3
52000,232.9
53000,256.8
54000,242.9
55000,272.0
56000,244.0
57000,203.8
58000,206.8
59000,214.3
60000,221.1
61000,216.0
62000,211.4
63000,215.6
64000,210.1
65000,201.1
66000,197.4
67000,208.1
68000,212.1
69000,215.8
70000,207.5
71000,214.6
72000,215.3
73000,198.7
74000,192.9
75000,185.4
76000,183.0
77000,191.5
78000,201.3
79000,196.2
80000,184.9
81000,185.1
82000,182.4
83000,180.1
84000,174.5
85000,167.5
86000,173.4
87000,178.0
88000,178.7
89000,178.0
90000,178.5
91000,180.5
92000,183.7
93000,188.5
94000,187.4
95000,185.6
96000,190.6
97000,186.0
98000,182.6
99000,185.4
100000,184.5
101000,182.7
102000,181.3
103000,183.3
104000,174.6
105000,155.5
106000,161.8
107000,153.3
108000,150.2
109000,159.2
110000,163.5
111000,169.9
112000,181.4
113000,215.4
114000,239.5
115000,221.0
116000,195.9
117000,199.0
118000,206.1
119000,222.2
120000,237.6
121000,255.1
122000,265.8
123000,268.2
124000,249.5
125000,231.5
126000,235.1
127000,236.8
128000,257.0
129000,296.3
130000,338.9
131000,391.9
132000,438.8
133000,474.2
134000,490.1
135000,500.0
136000,500.0
137000,500.0
138000,500.0
139000,500.0
140000,500.0
141000,500.0
142000,500.0
143000,500.0
144000,500.0
145000,500.0
146000,500.0
147000,500.0
148000,500.0
149000,500.0
150000,500.0
151000,500.0
152000,500.0
153000,500.0
154000,500.0
155000,500.0
156000,500.0
157000,500.0
158000,500.0
159000,500.0
160000,500.0
161000,500.0
162000,500.0
163000,500.0
164000,500.0
165000,500.0
166000,500.0
167000,500.0
168000,500.0
169000,500.0
170000,500.0
171000,500.0
172000,500.0
173000,500.0
174000,500.0
175000,500.0
176000,500.0
177000,500.0
178000,500.0
179000,500.0
180000,500.0
181000,500.0
182000,500.0
183000,500.0
184000,385.5
185000,292.8
186000,292.8
187000,337.6
188000,365.5
189000,368.6
190000,334.3
191000,321.4
192000,269.5
193000,227.7
194000,232.5
195000,286.8
196000,321.0
197000,365.1
198000,423.5
199000,470.7
200000,481.9
