steps,rewards
1000,25.4
2000,13.7
3000,25.0
4000,71.6
5000,134.4
6000,162.4
7000,211.8
8000,227.6
9000,290.1
10000,290.5
11000,270.3
12000,272.5
13000,296.1
14000,327.6
15000,351.4
16000,363.3
17000,341.0
18000,313.4
19000,310.9
20000,306.8
21000,300.8
22000,305.4
23000,303.6
24000,268.5
25000,277.3
26000,301.3
27000,314.0
28000,283.0
29000,220.2
30000,200.9
31000,193.4
32000,183.2
33000,166.3
34000,161.7
35000,151.9
36000,151.9
37000,158.7
38000,154.3
39000,155.6
40000,150.1
41000,116.5
42000,108.5
43000,107.5
44000,108.1
45000,109.2
46000,107.3
47000,108.0
48000,107.6
49000,108.9
50000,108.2
51000,108.0
52000,107.7
53000,108.5
54000,108.9
55000,108.9
56000,107.6
57000,107.0
58000,108.2
59000,110.1
60000,110.6
61000,113.8
62000,115.6
63000,117.1
64000,117.4
65000,120.9
66000,122.5
67000,129.7
68000,128.5
69000,133.8
70000,141.1
71000,149.4
72000,158.1
73000,150.7
74000,152.2
75000,153.8
76000,158.2
77000,165.5
78000,170.4
79000,170.7
80000,204.8
81000,244.1
82000,266.4
83000,283.0
84000,253.0
85000,163.2
86000,183.5
87000,253.8
88000,321.2
89000,392.3
90000,464.3
91000,500.0
92000,500.0
93000,500.0
94000,500.0
95000,500.0
96000,500.0
97000,500.0
98000,500.0
99000,500.0
100000,500.0
101000,500.0
102000,500.0
103000,500.0
104000,500.0
105000,500.0
106000,500.0
107000,500.0
108000,500.0
109000,500.0
110000,480.2
111000,378.7
112000,164.4
113000,146.9
114000,158.8
115000,181.5
116000,221.9
117000,275.9
118000,314.7
119000,376.7
120000,407.0
121000,445.7
122000,407.4
123000,269.6
124000,224.6
125000,221.9
126000,224.9
127000,221.7
128000,233.0
129000,236.2
130000,230.3
131000,201.1
132000,175.8
133000,200.6
134000,215.4
135000,197.7
136000,173.5
137000,138.4
138000,128.5
139000,131.6
140000,135.6
141000,133.0
142000,135.9
143000,135.8
144000,123.9
145000,125.2
146000,129.2
147000,142.8
148000,170.1
149000,231.4
150000,282.9
151000,352.6
152000,423.7
153000,441.6
154000,453.5
155000,500.0
156000,500.0
157000,500.0
158000,500.0
159000,500.0
160000,500.0
161000,500.0
162000,500.0
163000,500.0
164000,500.0
165000,500.0
166000,500.0
167000,500.0
168000,500.0
169000,500.0
170000,500.0
171000,500.0
172000,500.0
173000,500.0
174000,500.0
175000,500.0
176000,500.0
177000,500.0
178000,500.0
179000,500.0
180000,500.0
181000,500.0
182000,500.0
183000,500.0
184000,500.0
185000,500.0
186000,500.0
187000,500.0
188000,500.0
189000,500.0
190000,500.0
191000,500.0
192000,500.0
193000,500.0
194000,500.0
195000,500.0
196000,500.0
197000,500.0
198000,500.0
199000,500.0
200000,500.0
