steps,rewards
1000,23.9
2000,21.2
3000,25.6
4000,56.4
5000,100.8
6000,140.1
7000,171.9
8000,225.6
9000,254.1
10000,270.7
11000,206.4
12000,154.0
13000,124.8
14000,149.2
15000,153.8
16000,181.8
17000,210.3
18000,212.5
19000,179.5
20000,208.5
21000,242.9
22000,300.0
23000,382.6
24000,389.4
25000,290.3
26000,231.2
27000,249.0
28000,301.1
29000,372.4
30000,418.8
31000,366.2
32000,281.5
33000,305.3
34000,290.6
35000,357.2
36000,326.8
37000,386.7
38000,374.4
39000,341.2
40000,391.6
41000,310.4
42000,317.9
43000,353.3
44000,341.9
45000,355.0
46000,267.7
47000,223.3
48000,295.6
49000,339.9
50000,343.7
51000,368.4
52000,255.2
53000,230.0
54000,232.1
55000,278.5
56000,256.5
57000,244.4
58000,258.6
59000,285.0
60000,309.2
61000,287.0
62000,154.4
63000,132.8
64000,149.7
65000,180.9
66000,230.4
67000,306.4
68000,333.5
69000,368.7
70000,425.9
71000,445.2
72000,423.0
73000,402.8
74000,311.9
75000,288.6
76000,243.6
77000,255.0
78000,305.3
79000,360.5
80000,418.6
81000,470.0
82000,500.0
83000,500.0
84000,478.4
85000,359.3
86000,274.0
87000,257.1
88000,300.0
89000,303.2
90000,269.4
91000,299.2
92000,337.5
93000,371.3
94000,432.9
95000,396.5
96000,319.8
97000,318.2
98000,339.6
99000,366.4
100000,388.1
101000,367.1
102000,381.4
103000,393.3
104000,399.5
105000,439.8
106000,406.3
107000,330.6
108000,310.8
109000,336.9
110000,382.7
111000,419.0
112000,465.3
113000,484.5
114000,484.5
115000,484.5
116000,500.0
117000,479.6
118000,479.6
119000,479.6
120000,479.6
121000,479.6
122000,500.0
123000,500.0
124000,500.0
125000,500.0
126000,500.0
127000,500.0
128000,500.0
129000,500.0
130000,500.0
131000,500.0
132000,500.0
133000,500.0
134000,500.0
135000,500.0
136000,500.0
137000,500.0
138000,500.0
139000,500.0
140000,500.0
141000,474.2
142000,433.1
143000,410.5
144000,370.4
145000,271.8
146000,243.5
147000,293.3
148000,339.7
149000,435.3
150000,421.2
151000,291.3
152000,259.9
153000,293.7
154000,344.0
155000,410.3
156000,444.5
157000,475.9
158000,475.9
159000,500.0
160000,500.0
161000,487.0
162000,487.0
163000,487.0
164000,487.0
165000,487.0
166000,500.0
167000,500.0
168000,500.0
169000,500.0
170000,500.0
171000,500.0
172000,500.0
173000,500.0
174000,500.0
175000,500.0
176000,500.0
177000,500.0
178000,500.0
179000,500.0
180000,500.0
181000,500.0
182000,500.0
183000,500.0
184000,500.0
185000,500.0
186000,500.0
187000,500.0
188000,500.0
189000,463.3
190000,463.3
191000,463.3
192000,463.3
193000,463.3
194000,494.8
195000,494.8
196000,494.8
197000,475.3
198000,459.7
199000,440.7
200000,440.7
