steps,rewards
1000,20.7
2000,25.1
3000,30.5
4000,67.7
5000,138.9
6000,179.9
7000,178.7
8000,197.6
9000,214.8
10000,220.2
11000,239.3
12000,219.0
13000,186.5
14000,193.6
15000,170.6
16000,121.9
17000,127.8
18000,136.7
19000,153.7
20000,170.1
21000,177.3
22000,153.1
23000,135.4
24000,145.2
25000,159.4
26000,136.7
27000,140.3
28000,149.4
29000,129.4
30000,117.4
31000,125.9
32000,153.7
33000,146.3
34000,139.7
35000,140.3
36000,156.2
37000,158.5
38000,148.4
39000,143.8
40000,159.8
41000,164.8
42000,130.0
43000,112.5
44000,119.9
45000,114.6
46000,121.6
47000,144.3
48000,138.4
49000,137.5
50000,133.5
51000,130.6
52000,138.4
53000,135.1
54000,140.3
55000,128.5
56000,126.3
57000,165.2
58000,175.8
59000,166.6
60000,182.7
61000,176.0
62000,139.3
63000,127.5
64000,143.1
65000,145.7
66000,192.7
67000,126.8
68000,117.0
69000,127.7
70000,147.5
71000,138.8
72000,137.4
73000,141.5
74000,140.3
75000,121.2
76000,115.6
77000,119.4
78000,122.4
79000,117.2
80000,120.0
81000,113.8
82000,114.3
83000,125.9
84000,138.3
85000,150.6
86000,154.8
87000,170.0
88000,200.7
89000,215.0
90000,232.0
91000,223.0
92000,162.2
93000,210.0
94000,257.0
95000,280.7
96000,317.6
97000,338.8
98000,375.1
99000,357.4
100000,385.0
101000,328.9
102000,285.4
103000,261.6
104000,235.0
105000,245.9
106000,253.0
107000,290.7
108000,351.1
109000,386.2
110000,426.0
111000,469.0
112000,463.1
113000,460.1
114000,468.8
115000,450.1
116000,432.4
117000,436.9
118000,441.2
119000,457.6
120000,480.0
121000,497.7
122000,500.0
123000,500.0
124000,500.0
125000,500.0
126000,500.0
127000,500.0
128000,500.0
129000,500.0
130000,500.0
131000,500.0
132000,500.0
133000,500.0
134000,500.0
135000,500.0
136000,457.4
137000,418.7
138000,375.8
139000,375.8
140000,418.4
141000,457.1
142000,457.1
143000,500.0
144000,500.0
145000,500.0
146000,500.0
147000,500.0
148000,500.0
149000,500.0
150000,481.2
151000,481.2
152000,481.2
153000,450.1
154000,310.4
155000,310.4
156000,341.5
157000,378.9
158000,433.9
159000,436.6
160000,428.6
161000,428.6
162000,428.6
163000,449.1
164000,492.0
165000,500.0
166000,500.0
167000,500.0
168000,500.0
169000,500.0
170000,500.0
171000,500.0
172000,500.0
173000,500.0
174000,500.0
175000,457.1
176000,430.7
177000,430.7
178000,373.8
179000,416.7
180000,394.0
181000,401.4
182000,421.4
183000,458.3
184000,458.3
185000,500.0
186000,500.0
187000,500.0
188000,500.0
189000,500.0
190000,489.2
191000,489.2
192000,489.2
193000,489.2
194000,489.2
195000,500.0
196000,406.4
197000,374.0
198000,374.0
199000,374.0
200000,403.5
