steps,rewards
1000,17.7
2000,18.2
3000,25.3
4000,38.3
5000,91.5
6000,168.7
7000,245.1
8000,308.3
9000,342.6
10000,313.6
11000,299.8
12000,296.7
13000,328.7
14000,367.8
15000,319.3
16000,198.9
17000,163.9
18000,161.4
19000,143.3
20000,167.7
21000,165.4
22000,122.6
23000,116.6
24000,112.9
25000,131.9
26000,132.9
27000,120.2
28000,125.0
29000,126.0
30000,131.3
31000,123.1
32000,130.3
33000,139.3
34000,142.7
35000,143.4
36000,135.8
37000,150.9
38000,174.5
39000,168.0
40000,148.0
41000,114.0
42000,136.8
43000,141.8
44000,186.0
45000,177.1
46000,157.0
47000,194.4
48000,223.9
49000,177.5
50000,176.9
51000,151.5
52000,215.5
53000,276.2
54000,327.4
55000,330.0
56000,330.1
57000,322.4
58000,303.9
59000,295.1
60000,293.3
61000,299.0
62000,299.4
63000,298.6
64000,302.1
65000,301.2
66000,288.4
67000,282.9
68000,282.9
69000,276.2
70000,241.9
71000,244.2
72000,226.1
73000,171.2
74000,176.2
75000,183.1
76000,134.5
77000,142.3
78000,161.4
79000,212.5
80000,264.4
81000,268.4
82000,273.4
83000,282.5
84000,309.0
85000,337.2
86000,325.9
87000,311.0
88000,297.0
89000,287.8
90000,279.4
91000,281.3
92000,286.6
93000,286.7
94000,285.5
95000,284.9
96000,283.2
97000,262.1
98000,249.1
99000,241.8
100000,272.0
101000,294.2
102000,306.4
103000,320.4
104000,326.3
105000,328.8
106000,339.4
107000,356.0
108000,332.1
109000,346.8
110000,333.9
111000,344.3
112000,356.5
113000,367.8
114000,420.4
115000,428.6
116000,454.6
117000,435.0
118000,425.3
119000,418.1
120000,413.4
121000,437.4
122000,431.3
123000,437.6
124000,441.8
125000,454.1
126000,449.2
127000,461.3
128000,431.7
129000,427.4
130000,410.8
131000,401.5
132000,399.7
133000,427.3
134000,434.3
135000,451.3
136000,458.4
137000,490.5
138000,496.4
139000,484.6
140000,462.8
141000,452.7
142000,413.2
143000,427.9
144000,399.3
145000,308.7
146000,244.5
147000,232.9
148000,264.4
149000,291.8
150000,341.6
151000,329.2
152000,370.0
153000,387.6
154000,415.3
155000,439.5
156000,440.3
157000,440.3
158000,473.7
159000,473.7
160000,500.0
161000,500.0
162000,500.0
163000,500.0
164000,500.0
165000,487.4
166000,476.4
167000,476.4
168000,476.4
169000,476.4
170000,489.0
171000,500.0
172000,500.0
173000,500.0
174000,454.2
175000,454.2
176000,454.2
177000,454.2
178000,470.0
179000,500.0
180000,500.0
181000,500.0
182000,500.0
183000,500.0
184000,500.0
185000,500.0
186000,500.0
187000,500.0
188000,500.0
189000,500.0
190000,468.0
191000,395.4
192000,155.2
193000,149.2
194000,225.9
195000,297.4
196000,297.9
197000,299.6
198000,330.6
199000,367.2
200000,444.1
