steps,rewards
1000,22.0
2000,11.7
3000,31.3
4000,41.8
5000,100.4
6000,171.3
7000,208.4
8000,266.0
9000,282.1
10000,264.2
11000,278.9
12000,242.9
13000,202.8
14000,191.4
15000,184.2
16000,168.6
17000,162.5
18000,158.8
19000,156.3
20000,188.9
21000,200.7
22000,197.3
23000,230.0
24000,169.3
25000,183.9
26000,190.5
27000,165.8
28000,181.4
29000,176.0
30000,144.3
31000,157.7
32000,167.0
33000,162.6
34000,183.0
35000,206.0
36000,184.4
37000,171.9
38000,191.8
39000,179.5
40000,189.9
41000,181.2
42000,134.3
43000,159.5
44000,158.7
45000,124.8
46000,164.1
47000,196.1
48000,202.2
49000,160.6
50000,158.9
51000,173.8
52000,143.2
53000,132.4
54000,151.7
55000,180.6
56000,232.0
57000,241.7
58000,213.1
59000,225.8
60000,174.6
61000,186.6
62000,214.7
63000,202.2
64000,211.2
65000,204.9
66000,139.9
67000,193.5
68000,219.8
69000,241.9
70000,159.2
71000,165.0
72000,234.9
73000,290.5
74000,372.7
75000,397.9
76000,339.4
77000,253.2
78000,238.4
79000,294.3
80000,332.3
81000,412.3
82000,473.9
83000,473.9
84000,476.0
85000,471.0
86000,481.2
87000,481.2
88000,481.2
89000,492.3
90000,500.0
91000,500.0
92000,500.0
93000,500.0
94000,500.0
95000,500.0
96000,500.0
97000,500.0
98000,500.0
99000,500.0
100000,500.0
101000,500.0
102000,500.0
103000,500.0
104000,500.0
105000,500.0
106000,500.0
107000,500.0
108000,500.0
109000,500.0
110000,500.0
111000,500.0
112000,500.0
113000,500.0
114000,500.0
115000,500.0
116000,500.0
117000,500.0
118000,500.0
119000,455.9
120000,455.9
121000,445.9
122000,445.9
123000,447.2
124000,445.4
125000,455.4
126000,455.4
127000,455.4
128000,482.0
129000,495.7
130000,465.2
131000,464.8
132000,449.9
133000,405.8
134000,433.3
135000,433.3
136000,436.1
137000,449.5
138000,367.3
139000,308.2
140000,307.5
141000,356.7
142000,384.6
143000,397.6
144000,339.1
145000,335.8
146000,307.4
147000,319.1
148000,281.2
149000,249.5
150000,278.8
151000,284.1
152000,355.7
153000,194.2
154000,179.6
155000,152.8
156000,115.1
157000,114.9
158000,105.5
159000,104.2
160000,105.9
161000,107.1
162000,115.4
163000,197.7
164000,231.7
165000,268.2
166000,308.4
167000,380.9
168000,432.9
169000,402.9
170000,380.2
171000,339.9
172000,328.2
173000,329.0
174000,329.0
175000,369.3
176000,417.3
177000,434.7
178000,500.0
179000,356.1
180000,356.1
181000,356.1
182000,356.1
183000,404.8
184000,500.0
185000,500.0
186000,500.0
187000,500.0
188000,500.0
189000,500.0
190000,500.0
191000,500.0
192000,500.0
193000,500.0
194000,500.0
195000,500.0
196000,500.0
197000,500.0
198000,500.0
199000,500.0
200000,492.2
