steps,rewards
1000,22.9
2000,12.9
3000,31.9
4000,32.2
5000,34.3
6000,46.8
7000,63.4
8000,82.6
9000,116.0
10000,161.2
11000,208.7
12000,233.5
13000,225.0
14000,254.8
15000,267.4
16000,267.4
17000,288.2
18000,283.5
19000,278.0
20000,253.2
21000,256.6
22000,267.5
23000,287.3
24000,283.4
25000,290.0
26000,284.1
27000,279.3
28000,254.1
29000,248.3
30000,261.3
31000,257.3
32000,254.1
33000,241.0
34000,247.3
35000,260.8
36000,292.8
37000,277.4
38000,260.9
39000,259.1
40000,277.0
41000,265.3
42000,260.8
43000,266.4
44000,248.7
45000,249.5
46000,269.5
47000,275.6
48000,260.8
49000,257.9
50000,229.9
51000,231.5
52000,221.5
53000,211.3
54000,210.2
55000,225.0
56000,226.9
57000,229.9
58000,236.9
59000,237.4
60000,235.9
61000,233.7
62000,231.7
63000,224.6
64000,226.3
65000,221.3
66000,219.8
67000,214.2
68000,221.1
69000,248.8
70000,244.4
71000,229.9
72000,225.6
73000,226.3
74000,230.7
75000,232.4
76000,250.5
77000,247.5
78000,213.9
79000,210.1
80000,206.0
81000,195.2
82000,190.9
83000,197.4
84000,187.0
85000,169.3
86000,161.9
87000,162.9
88000,150.7
89000,145.5
90000,140.1
91000,134.0
92000,132.5
93000,147.6
94000,160.5
95000,153.0
96000,146.4
97000,132.4
98000,136.1
99000,140.1
100000,148.8
101000,138.6
102000,141.9
103000,139.7
104000,134.3
105000,133.1
106000,131.4
107000,131.9
108000,129.9
109000,131.5
110000,126.2
111000,123.6
112000,127.8
113000,126.1
114000,126.8
115000,123.7
116000,126.3
117000,129.3
118000,130.3
119000,130.1
120000,129.6
121000,134.0
122000,133.1
123000,127.6
124000,128.5
125000,129.1
126000,130.5
127000,130.5
128000,130.0
129000,138.9
130000,133.0
131000,133.3
132000,132.3
133000,128.9
134000,132.6
135000,131.9
136000,136.2
137000,138.9
138000,136.8
139000,136.7
140000,137.5
141000,137.0
142000,135.8
143000,138.3
144000,137.5
145000,136.3
146000,141.4
147000,138.8
148000,141.3
149000,143.2
150000,140.1
151000,143.4
152000,144.8
153000,153.9
154000,159.2
155000,164.1
156000,168.6
157000,182.4
158000,192.8
159000,202.2
160000,209.2
161000,212.8
162000,213.0
163000,215.1
164000,220.2
165000,222.0
166000,222.4
167000,224.7
168000,224.8
169000,222.5
170000,234.0
171000,238.5
172000,243.7
173000,246.4
174000,243.3
175000,238.5
176000,231.5
177000,228.8
178000,231.7
179000,230.6
180000,232.8
181000,226.1
182000,220.8
183000,219.1
184000,214.1
185000,208.1
186000,206.8
187000,208.4
188000,204.1
189000,198.1
190000,198.9
191000,200.3
192000,188.4
193000,184.3
194000,188.8
195000,188.0
196000,183.8
197000,177.4
198000,180.0
199000,180.4
200000,177.0
